START_DT,DAYS,STUDIO,COURSE_ID,CLASS_NBR
26-SEP-2013,THURSDAY,3,201138,87596
27-SEP-2013,FRIDAY,2,154016,86609
27-SEP-2013,FRIDAY,3,136041,87891
30-SEP-2013,MONDAY,1,118741,89175
30-SEP-2013,MONDAY,1,118926,89592
30-SEP-2013,MONDAY,1,118931,89602
30-SEP-2013,MONDAY,1,121546,89337
30-SEP-2013,MONDAY,1,157466,88643
30-SEP-2013,MONDAY,1,157551,84449
30-SEP-2013,MONDAY,2,100796,90079
30-SEP-2013,MONDAY,2,100861,88294
30-SEP-2013,MONDAY,2,154741,85959
30-SEP-2013,MONDAY,2,201066,89202
30-SEP-2013,MONDAY,3,105911,87522
30-SEP-2013,MONDAY,3,154686,85963
30-SEP-2013,MONDAY,3,154756,85960
30-SEP-2013,MONDAY,3,157556,85249
30-SEP-2013,MONDAY,3,158706,87981
01-OCT-2013,TUESDAY,1,111101,86767
01-OCT-2013,TUESDAY,1,118836,89049
01-OCT-2013,TUESDAY,1,154706,86076
01-OCT-2013,TUESDAY,1,154706,89623
01-OCT-2013,TUESDAY,1,157451,85161
01-OCT-2013,TUESDAY,2,108291,89560
01-OCT-2013,TUESDAY,2,136221,87919
01-OCT-2013,TUESDAY,2,147042,87254
01-OCT-2013,TUESDAY,3,110571,86282
01-OCT-2013,TUESDAY,3,110651,86218
01-OCT-2013,TUESDAY,3,126776,86283
01-OCT-2013,TUESDAY,3,127061,86243
01-OCT-2013,TUESDAY,3,134956,87271
01-OCT-2013,TUESDAY,3,201138,87596
02-OCT-2013,WEDNESDAY,1,118741,89177
02-OCT-2013,WEDNESDAY,1,157466,88643
02-OCT-2013,WEDNESDAY,1,157551,84449
02-OCT-2013,WEDNESDAY,2,100796,90079
02-OCT-2013,WEDNESDAY,2,100861,88294
02-OCT-2013,WEDNESDAY,2,154741,85959
02-OCT-2013,WEDNESDAY,2,190776,90574
02-OCT-2013,WEDNESDAY,2,201066,89202
02-OCT-2013,WEDNESDAY,3,118881,89065
02-OCT-2013,WEDNESDAY,3,154686,85963
02-OCT-2013,WEDNESDAY,3,154756,85960
02-OCT-2013,WEDNESDAY,3,157556,85249
03-OCT-2013,THURSDAY,1,111101,86767
03-OCT-2013,THURSDAY,1,154706,86076
03-OCT-2013,THURSDAY,1,154706,89623
03-OCT-2013,THURSDAY,1,157451,85161
03-OCT-2013,THURSDAY,2,136221,87919
03-OCT-2013,THURSDAY,2,147042,87254
03-OCT-2013,THURSDAY,2,153816,86593
03-OCT-2013,THURSDAY,3,110571,86282
03-OCT-2013,THURSDAY,3,110651,86218
03-OCT-2013,THURSDAY,3,126776,86283
03-OCT-2013,THURSDAY,3,127061,86243
03-OCT-2013,THURSDAY,3,134956,87271
03-OCT-2013,THURSDAY,3,201138,87596
04-OCT-2013,FRIDAY,2,154016,86609
04-OCT-2013,FRIDAY,3,136041,87891
07-OCT-2013,MONDAY,1,118741,89175
07-OCT-2013,MONDAY,1,118926,89592
07-OCT-2013,MONDAY,1,118931,89602
07-OCT-2013,MONDAY,1,121546,89337
07-OCT-2013,MONDAY,1,157466,88643
07-OCT-2013,MONDAY,1,157551,84449
07-OCT-2013,MONDAY,2,100796,90079
07-OCT-2013,MONDAY,2,100861,88294
07-OCT-2013,MONDAY,2,154741,85959
07-OCT-2013,MONDAY,2,201066,89202
07-OCT-2013,MONDAY,3,105911,87522
07-OCT-2013,MONDAY,3,154686,85963
07-OCT-2013,MONDAY,3,154756,85960
07-OCT-2013,MONDAY,3,157556,85249
07-OCT-2013,MONDAY,3,158706,87981
08-OCT-2013,TUESDAY,1,111101,86767
08-OCT-2013,TUESDAY,1,118836,89049
08-OCT-2013,TUESDAY,1,154706,86076
08-OCT-2013,TUESDAY,1,154706,89623
08-OCT-2013,TUESDAY,1,157451,85161
08-OCT-2013,TUESDAY,2,108291,89560
08-OCT-2013,TUESDAY,2,136221,87919
08-OCT-2013,TUESDAY,2,147042,87254
08-OCT-2013,TUESDAY,3,110571,86282
08-OCT-2013,TUESDAY,3,110651,86218
08-OCT-2013,TUESDAY,3,126776,86283
08-OCT-2013,TUESDAY,3,127061,86243
08-OCT-2013,TUESDAY,3,134956,87271
08-OCT-2013,TUESDAY,3,201138,87596
09-OCT-2013,WEDNESDAY,1,118741,89177
09-OCT-2013,WEDNESDAY,1,157466,88643
09-OCT-2013,WEDNESDAY,1,157551,84449
09-OCT-2013,WEDNESDAY,2,100796,90079
09-OCT-2013,WEDNESDAY,2,100861,88294
09-OCT-2013,WEDNESDAY,2,154741,85959
09-OCT-2013,WEDNESDAY,2,190776,90574
09-OCT-2013,WEDNESDAY,2,201066,89202
09-OCT-2013,WEDNESDAY,3,118881,89065
09-OCT-2013,WEDNESDAY,3,154686,85963
09-OCT-2013,WEDNESDAY,3,154756,85960
09-OCT-2013,WEDNESDAY,3,157556,85249
10-OCT-2013,THURSDAY,1,111101,86767
10-OCT-2013,THURSDAY,1,154706,86076
10-OCT-2013,THURSDAY,1,154706,89623
10-OCT-2013,THURSDAY,1,157451,85161
10-OCT-2013,THURSDAY,2,136221,87919
10-OCT-2013,THURSDAY,2,147042,87254
10-OCT-2013,THURSDAY,2,153816,86593
10-OCT-2013,THURSDAY,3,110571,86282
10-OCT-2013,THURSDAY,3,110651,86218
10-OCT-2013,THURSDAY,3,126776,86283
10-OCT-2013,THURSDAY,3,127061,86243
10-OCT-2013,THURSDAY,3,134956,87271
10-OCT-2013,THURSDAY,3,201138,87596
11-OCT-2013,FRIDAY,2,154016,86609
11-OCT-2013,FRIDAY,3,136041,87891
14-OCT-2013,MONDAY,1,118741,89175
14-OCT-2013,MONDAY,1,118926,89592
14-OCT-2013,MONDAY,1,118931,89602
14-OCT-2013,MONDAY,1,121546,89337
14-OCT-2013,MONDAY,1,157466,88643
14-OCT-2013,MONDAY,1,157551,84449
14-OCT-2013,MONDAY,2,100796,90079
14-OCT-2013,MONDAY,2,100861,88294
14-OCT-2013,MONDAY,2,154741,85959
14-OCT-2013,MONDAY,2,201066,89202
14-OCT-2013,MONDAY,3,105911,87522
14-OCT-2013,MONDAY,3,154686,85963
14-OCT-2013,MONDAY,3,154756,85960
14-OCT-2013,MONDAY,3,157556,85249
14-OCT-2013,MONDAY,3,158706,87981
15-OCT-2013,TUESDAY,1,111101,86767
15-OCT-2013,TUESDAY,1,118836,89049
15-OCT-2013,TUESDAY,1,154706,86076
15-OCT-2013,TUESDAY,1,154706,89623
15-OCT-2013,TUESDAY,1,157451,85161
15-OCT-2013,TUESDAY,2,108291,89560
15-OCT-2013,TUESDAY,2,136221,87919
15-OCT-2013,TUESDAY,2,147042,87254
15-OCT-2013,TUESDAY,3,110571,86282
15-OCT-2013,TUESDAY,3,110651,86218
15-OCT-2013,TUESDAY,3,126776,86283
15-OCT-2013,TUESDAY,3,127061,86243
15-OCT-2013,TUESDAY,3,134956,87271
15-OCT-2013,TUESDAY,3,201138,87596
16-OCT-2013,WEDNESDAY,1,118741,89177
16-OCT-2013,WEDNESDAY,1,157466,88643
16-OCT-2013,WEDNESDAY,1,157551,84449
16-OCT-2013,WEDNESDAY,2,100796,90079
16-OCT-2013,WEDNESDAY,2,100861,88294
16-OCT-2013,WEDNESDAY,2,154741,85959
16-OCT-2013,WEDNESDAY,2,190776,90574
16-OCT-2013,WEDNESDAY,2,201066,89202
16-OCT-2013,WEDNESDAY,3,118881,89065
16-OCT-2013,WEDNESDAY,3,154686,85963
16-OCT-2013,WEDNESDAY,3,154756,85960
16-OCT-2013,WEDNESDAY,3,157556,85249
17-OCT-2013,THURSDAY,1,111101,86767
17-OCT-2013,THURSDAY,1,154706,86076
17-OCT-2013,THURSDAY,1,154706,89623
17-OCT-2013,THURSDAY,1,157451,85161
17-OCT-2013,THURSDAY,2,136221,87919
